id;idn_var_cliente_externo;idn_var_processo;idnvar_usuario
1;olive Turnpike;Tuna Account;Practical
2;SAS;global;Optional Operations Krona
3;ADP Wisconsin SAS;azure withdrawal fuchsia;Mouse microchip Orchestrator
4;generate;Cheese Optimization data-warehouse;program Assurance support
5;Producer Soap;Granite;Yen e-commerce parsing
6;cultivate pink Kids;Concrete mobile COM;quantify Communications bus
7;Michigan;transmitting benchmark;Ports invoice Sports
8;deposit SMS;Clothing;Home
9;innovative;Internal generating;Liberian
10;Sleek payment;indexing;Coordinator
