id;idn_var_compliance_externo;idn_var_processo;idnvar_usuario
1;Fantastic;Refined administration Implemented;Money
2;clicks-and-mortar;Causeway context-sensitive;Interactions homogeneous extend
3;gold violet;Money Borders Japan;circuit Future
4;Applications Car;drive;ADP Bacon
5;Meadow Ports;directional;deposit
6;SAS Regional;Mobility;connect Analyst
7;Borders;initiatives alarm;Sweden
8;back-end Franc improvement;Shirt;Loan Executive
9;1080p invoice Kids;Dakota Towels invoice;Checking
10;bandwidth;Automotive;payment IB infomediaries
