id;idn_var_fornecedor_externo;idn_var_processo;idnvar_usuario
1;Concrete Principal PNG;program;Chair Washington Sports
2;Incredible;Quality-focused Handcrafted;Belgium Directives
3;Tasty blue;Awesome Forward;program
4;Rupee;Ridges Grocery;Cambridgeshire sky
5;matrix interactive;homogeneous Forge;Movies
6;Senior;Glen invoice;Awesome methodologies
7;driver Checking Legacy;Dale;Berkshire Louisiana Shoes
8;cross-platform;indigo up Cambridgeshire;Avon
9;payment Dobra;index;Senior
10;Open-source;Bedfordshire;haptic turquoise
