id;idn_var_macro_processo;idn_var_organograma;idn_var_processo;idn_var_usuario;idn_var_empresa;idn_var_usuario_cadastro
1;Security;Account;Applications RSS;payment Orchestrator;Optimization productize;Concrete
2;Plastic Pula;Investment;Account Bacon;Practical Rubber Home;bypassing yellow;Rubber FTP
3;Singapore;Investor Refined;plum;invoice Bedfordshire;extend generate;redefine Borders
4;Mississippi system metrics;driver Virtual;service-desk driver Integration;interface Yuan Card;International United;markets
5;GB;District Outdoors;moratorium;Cambridgeshire Credit engineer;Ergonomic monitor;deposit ivory
6;algorithm Kazakhstan Organic;input calculate;Unit;Marketing Developer Cotton;Sports Taiwan;overriding bandwidth
7;e-services Account;invoice card;Legacy;Advanced port;Tasty portals Facilitator;methodologies Concrete
8;Ergonomic AGP infrastructures;framework;Unbranded withdrawal;calculate Human Baht;Credit Awesome Account;quantify Soft Utah
9;Handcrafted infomediaries;Senior Norwegian TCP;EXE Handcrafted transmitting;morph pricing Handcrafted;Jewelery Shoal withdrawal;Guinea
10;Borders;Credit Mouse;CSS;Ohio expedite;bandwidth;Garden
