id;idn_var_processo;idn_var_organograma;idnvar_usuario
1;Soft loyalty;Clothing Bedfordshire;complexity Towels
2;Unbranded Metal Wooden;Producer;teal radical TCP
3;Configuration portals;cultivate;Ohio Rustic Lead
4;Gloves Small;Market synthesizing firewall;Account Rubber Specialist
5;digital customized;Generic pink partnerships;Outdoors Circles transmitting
6;SMTP SQL Account;global Soap;AGP Account
7;Shoes Iceland connecting;Customer;withdrawal Quality Cheese
8;frame XML Lucia;RSS;Music
9;neural interface Concrete;Cheese Florida;Branding cross-platform
10;International dynamic;Wooden Illinois backing;Wall Sleek Liberian
