id;idn_var_compliance_externo;n_var_nome;n_var_descricao;idn_var_empresa;idnvar_usuario
1;Burg;Shoes Tuna index;Fresh;azure models Avon;JSON Specialist
2;Interactions repurpose Dynamic;Small proactive;Shoes unleash;mobile New;Bedfordshire
3;Unbranded;Borders Zambian Tasty;back-end deposit;firewall;Account redundant Ports
4;Refined area;Fiji;Tools;Streets Rubber;International Supervisor
5;programming Fully-configurable Pennsylvania;Industrial;HTTP;explicit Engineer;Antillian
6;Carolina action-items schemas;Awesome International data-warehouse;morph;SCSI policy withdrawal;Account
7;HTTP Chair;Lao;connecting;transmitting;Fresh disintermediate deposit
8;Avon Germany GB;killer;Gardens;Ergonomic models;index Account program
9;Administrator;reintermediate Mouse;benchmark Switchable York;mobile payment;Product Monetary haptic
10;contextually-based payment;Program port capacity;Agent program synergies;quantify;gold
