id;idn_var_compliante_interno;n_var_nome;n_var_descricao;idn_var_empresa;idnvar_usuario
1;cross-platform Analyst;group Hat;high-level Man Tasty;sexy Bedfordshire e-markets;evolve Operations
2;Global utilize payment;Rustic Mongolia Agent;Computers Berkshire generating;withdrawal Senior;Music Shoes optimize
3;grid-enabled;Supervisor;Home;SQL Table Minnesota;Metal Ball
4;disintermediate Diverse scalable;Innovative;wireless;interface;Cambridgeshire synthesize
5;calculate;Metal;Customer-focused revolutionary Planner;Flats;application
6;up protocol;Burgs;Keyboard rich;next;Regional
7;repurpose incremental;Table;Music contingency;port Health auxiliary;virtual
8;Generic orchid;Licensed salmon value-added;next-generation;Account Technician extend;bandwidth
9;Chair;Global;systematic Salvador withdrawal;online;protocol Direct
10;mindshare Applications pink;bifurcated moratorium wireless;transmitting COM;GB Afghani deposit;Oregon Account
