id;idn_var_empresa;n_var_nome;n_var_descricao
1;EXE index clicks-and-mortar;Mount parse;circuit override
2;Ball world-class;Frozen Metrics back-end;bifurcated payment Borders
3;SSL multi-byte Tasty;auxiliary Station Jersey;circuit Coordinator Ethiopian
4;product Avon lime;Accounts navigate deposit;driver Wooden
5;Dinar Account virtual;Cambridgeshire Tools;Generic Account
6;Loan;niches Specialist;copy turquoise Future
7;Granite Persistent convergence;Argentina Paradigm;Minnesota e-tailers grow
8;Licensed digital;Avon Gloves;TCP Montenegro
9;panel Vanuatu;Managed SSL synergistic;Senior cutting-edge teal
10;Practical;Tajikistan Branding;Toys input Fresh
