id;idn_var_fornecedor_externo;n_var_nome;n_var_descricao;idn_var_empresa;idnvar_usuario
1;deliver markets Passage;Soft invoice capacitor;indigo Costa Direct;infomediaries integrated;Concrete Denmark copy
2;bypass 24/7 evolve;input France lavender;override Buckinghamshire teal;Berkshire Loan;Accountability
3;Avon 24/7 salmon;back-end capability;Architect GB quantifying;transmitting Guernsey;Lock Fantastic Cambridgeshire
4;back Steel Object-based;Data;object-oriented parsing Assistant;IB;Direct Terrace envisioneer
5;projection;sensor;invoice online;Loan green;invoice Metal Cotton
6;Account GB;transform District utilize;Web;cultivate Frozen seize;Agent Triple-buffered
7;Cotton;De-engineered;models Forward compressing;Rubber Health;Wooden
8;synergize;input paradigms;payment;support;Borders bypassing embrace
9;Borders Central generating;up Fantastic revolutionize;standardization infrastructures;Louisiana Fantastic Concrete;vertical
10;leading-edge;Cloned Dynamic blockchains;Coordinator;Cotton connect maroon;Bedfordshire Automotive
