id;idn_var_organograma;idn_var_processo;idnvar_usuario
1;mobile Rapids;Principal New Market;GB
2;alarm Concrete Movies;Singapore;deposit
3;viral one-to-one task-force;invoice Hawaii indigo;West
4;Metal Tools Kroon;Nebraska generate quantify;digital
5;payment matrix;azure Gorgeous;Metrics
6;Industrial SQL system;24/7 Beauty eyeballs;standardization digital COM
7;Specialist Table SQL;web-readiness Bermuda hack;Yemeni program Rustic
8;infrastructure policy Sleek;Cambridgeshire Forward Self-enabling;auxiliary Island Loan
9;Regional;Club South vortals;Practical Account
10;Administrator Supervisor;Pre-emptive forecast frictionless;panel Sleek
