id;idn_var_funcionario;idn_var_organograma;idnvar_usuario
1;PCI;index Wooden core;synthesizing panel intuitive
2;Account Optional syndicate;unleash overriding Crescent;white
3;Point Shoes orange;homogeneous Berkshire;Brand
4;Books Markets;deposit Bedfordshire;Intelligent Personal alarm
5;multi-byte multi-tasking payment;Global;connecting
6;Regional;Buckinghamshire Group Fantastic;Strategist
7;Ville communities Forward;overriding Account;card Divide Focused
8;Orchestrator violet Buckinghamshire;niches Savings Salvador;Beauty
9;Manat;Points;Rubber revolutionary Refined
10;Chair demand-driven Rial;Progressive Avon;invoice payment
