id;idn_var_macro_processo;n_var_nome_macro_processo;idn_var_empresa;idn_var_usuario
1;overriding Somoni Minnesota;Wisconsin;Architect invoice;Bedfordshire convergence
2;web-readiness Director;solid Card Producer;Producer holistic protocol;Steel AGP
3;Designer;Finland mint;Meadow Supervisor Pants;Plastic Tanzanian
4;supply-chains EXE;Nakfa Handcrafted Avon;Soft encoding;Automotive Illinois
5;Account payment Swaziland;indexing Hat;Sleek Officer;Roads
6;Designer Taka Account;Dynamic Savings;card transmit intuitive;Auto
7;Michigan teal Ohio;moderator moderator Marketing;Berkshire Avon Nauru;Licensed Director
8;Corners;process Ireland;Quality compress;Bike
9;Electronics;EXE;Account up Awesome;Rustic SSL collaborative
10;Account quantify;Cotton Facilitator;Singapore;Surinam backing
